Дата,Выпуск,Ссылка на выпуск,Ссылка на обложку,Обложка
1999-04-02,№ 1 (1),https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1390/issue.pdf,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1390/cover.jpg,
1999-04-16,№ 2 (2),https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1385/issue.pdf,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1385/cover.jpg,
1999-04-30,№ 3 (3),https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1142/issue.pdf,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1142/cover.jpg,
1999-05-14,№ 4 (4),https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1232/issue.pdf,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1232/cover.jpg,
1999-05-28,№ 5 (5),https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1296/issue.pdf,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1296/cover.jpg,
1999-06-11,№ 6 (6),https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1292/issue.pdf,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1292/cover.jpg,
1999-06-25,№ 7 (7),https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1238/issue.pdf,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1238/cover.jpg,
1999-07-09,№ 8 (8),https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1102/issue.pdf,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1102/cover.jpg,
1999-07-23,№ 9 (9),https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1440/issue.pdf,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1440/cover.jpg,
1999-08-06,№ 10–11 (10–11),https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1345/issue.pdf,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1345/cover.jpg,
1999-09-03,№ 12 (12),https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1415/issue.pdf,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1415/cover.jpg,
1999-09-17,№ 13 (13),https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1143/issue.pdf,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1143/cover.jpg,
1999-10-01,№ 14 (14),https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1148/issue.pdf,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1148/cover.jpg,
1999-10-15,№ 15 (15),https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1412/issue.pdf,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1412/cover.jpg,
1999-10-29,№ 16 (16),https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1092/issue.pdf,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1092/cover.jpg,
1999-11-12,№ 17 (17),https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1372/issue.pdf,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1372/cover.jpg,
1999-11-26,№ 18 (18),https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1321/issue.pdf,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1321/cover.jpg,
1999-12-10,№ 19 (19),https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1223/issue.pdf,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1223/cover.jpg,
1999-12-24,№ 20 (20),https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1361/issue.pdf,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1361/cover.jpg,
2000-01-14,№ 1 (21),https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1185/issue.pdf,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1185/cover.jpg,
2000-01-28,№ 2 (22),https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1330/issue.pdf,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1330/cover.jpg,
2000-02-11,№ 3 (23),https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1214/issue.pdf,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1214/cover.jpg,
2000-02-25,№ 4 (24),https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1227/issue.pdf,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1227/cover.jpg,
2000-03-10,№ 5 (25),https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1319/issue.pdf,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1319/cover.jpg,
2000-03-24,№ 6 (26),https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1177/issue.pdf,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1177/cover.jpg,
