id,issue_name,issue_dt,cover,issue,,,,,,,,1468,1290
1390,№ 1 (1),1999-04-02 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1390/issue.pdf,,,,,,,,1458,1291
1385,№ 2 (2),1999-04-16 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1385/issue.pdf,,,,,,,,1484,1292
1142,№ 3 (3),1999-04-30 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1142/issue.pdf,,,,,,,,1454,1288
1232,№ 4 (4),1999-05-14 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1232/issue.pdf,,,,,,,,1453,1289
1296,№ 5 (5),1999-05-28 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1296/issue.pdf,,,,,,,,1460,1293
1292,№ 6 (6),1999-06-11 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1292/issue.pdf,,,,,,,,1477,1294
1238,№ 7 (7),1999-06-25 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1238/issue.pdf,,,,,,,,1476,1295
1102,№ 8 (8),1999-07-09 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1102/issue.pdf,,,,,,,,1466,1296
1440,№ 9 (9),1999-07-23 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1440/issue.pdf,,,,,,,,1473,1297
1345,№ 10–11 (10–11),1999-08-06 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1345/issue.pdf,,,,,,,,1471,1298
1415,№ 12 (12),1999-09-03 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1415/issue.pdf,,,,,,,,1467,1299
1143,№ 13 (13),1999-09-17 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1143/issue.pdf,,,,,,,,1480,1300
1148,№ 14 (14),1999-10-01 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1148/issue.pdf,,,,,,,,1482,1301
1412,№ 15 (15),1999-10-15 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1412/issue.pdf,,,,,,,,1457,1302
1092,№ 16 (16),1999-10-29 00:00:00,,https://archivarius-public.s3.us-west-2.amazonaws.com/rima/print/scraped_printed_issue/1092/issue.pdf,,,,,,,,1474,1303
